group_type,group,metric,count,mean,std,min,25%,50%,75%,max
overall,all,cosine_similarity,30,0.5854265093803406,0.18057899177074432,0.15665501356124878,0.472687192261219,0.6171225011348724,0.6873472481966019,0.8556997776031494
overall,all,bertscore_precision,30,0.8442111611366272,0.020087283104658127,0.7878862023353577,0.8339879214763641,0.8447154462337494,0.8594023585319519,0.8805635571479797
overall,all,bertscore_recall,30,0.8676013350486755,0.02381131425499916,0.827521026134491,0.8517035394906998,0.8656914532184601,0.8860914260149002,0.9213328957557678
overall,all,bertscore_f1,30,0.85556560754776,0.018024679273366928,0.8209509253501892,0.839985802769661,0.8557000160217285,0.8726501017808914,0.8844095468521118
overall,all,rougeL_precision,30,0.12563776261311635,0.051172006156619106,0.041666666666666664,0.08061509785647716,0.125,0.16581632653061223,0.25
overall,all,rougeL_recall,30,0.24794587834525358,0.14101101811543634,0.07692307692307693,0.15058479532163743,0.19817927170868346,0.3333333333333333,0.6
overall,all,rougeL_f1,30,0.15265909164619332,0.055486473937387704,0.06557377049180328,0.11249481112494812,0.14669738863287252,0.18949010327022375,0.2650602409638554
question_category,brand loyalty,cosine_similarity,3,0.6679276823997498,0.05671943724155426,0.615629255771637,0.6377815306186676,0.6599338054656982,0.6940768957138062,0.7282199859619141
question_category,brand loyalty,bertscore_precision,3,0.8509054183959961,0.011965231038630009,0.8437494039535522,0.8439987897872925,0.8442481756210327,0.854483425617218,0.8647186756134033
question_category,brand loyalty,bertscore_recall,3,0.8761475682258606,0.017006060108542442,0.8572989702224731,0.8690504133701324,0.8808018565177917,0.8855718970298767,0.8903419375419617
question_category,brand loyalty,bertscore_f1,3,0.86331707239151,0.013475255109369755,0.850470244884491,0.8563040196895599,0.8621377944946289,0.8697405159473419,0.8773432374000549
question_category,brand loyalty,rougeL_precision,3,0.13450286130698502,0.050123220521864874,0.10309278350515463,0.10560044580663137,0.10810810810810811,0.1502079002079002,0.19230769230769232
question_category,brand loyalty,rougeL_recall,3,0.302015658837248,0.1508834378918055,0.13793103448275862,0.23563218390804597,0.3333333333333333,0.38405797101449274,0.43478260869565216
question_category,brand loyalty,rougeL_f1,3,0.17726040896772602,0.0620274056621332,0.12121212121212122,0.14393939393939392,0.16666666666666666,0.20528455284552843,0.2439024390243902
question_category,influences,cosine_similarity,3,0.3511393964290619,0.11671586334705353,0.21652720868587494,0.31464632600545883,0.4127654433250427,0.41844548285007477,0.4241255223751068
question_category,influences,bertscore_precision,3,0.8296258449554443,0.008551936596632004,0.8214053511619568,0.8252014517784119,0.8289975523948669,0.8337360620498657,0.8384745717048645
question_category,influences,bertscore_recall,3,0.8296145796775818,0.0029567964375019073,0.827521026134491,0.8279233276844025,0.828325629234314,0.8306613266468048,0.8329970240592957
question_category,influences,bertscore_f1,3,0.829594612121582,0.003011077642440796,0.8271605968475342,0.8279110193252563,0.8286614418029785,0.830811619758606,0.8329617977142334
question_category,influences,rougeL_precision,3,0.0669079794079794,0.012563134687450316,0.05714285714285714,0.05982142857142857,0.0625,0.07179054054054054,0.08108108108108109
question_category,influences,rougeL_recall,3,0.07985347985347986,0.005075606762106598,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.08131868131868132,0.08571428571428572
question_category,influences,rougeL_f1,3,0.07227009851312065,0.006686819333739319,0.06557377049180328,0.06893146355915465,0.07228915662650602,0.07561826252377932,0.07894736842105263
question_category,product preferences,cosine_similarity,15,0.6158273220062256,0.15849855542182922,0.24264772236347198,0.5555456280708313,0.6085264086723328,0.7271548509597778,0.8556997776031494
question_category,product preferences,bertscore_precision,15,0.845001220703125,0.01934208907186985,0.7878862023353577,0.838705986738205,0.849793553352356,0.8558036386966705,0.8676587343215942
question_category,product preferences,bertscore_recall,15,0.8723346590995789,0.0240999273955822,0.8426108360290527,0.8528825044631958,0.8657230138778687,0.8905483782291412,0.9213328957557678
question_category,product preferences,bertscore_f1,15,0.8581756353378296,0.015021005645394325,0.8375719785690308,0.8471331000328064,0.8567489385604858,0.8687211871147156,0.8844095468521118
question_category,product preferences,rougeL_precision,15,0.1328020899735448,0.04314920316545324,0.041666666666666664,0.10562338142804292,0.14285714285714285,0.1661396953147456,0.1875
question_category,product preferences,rougeL_recall,15,0.27532107943713846,0.1572731714877779,0.12962962962962962,0.16064516129032258,0.19047619047619047,0.3738095238095238,0.6
question_category,product preferences,rougeL_f1,15,0.16120436208241606,0.047633475814379246,0.07792207792207792,0.136926682289923,0.15254237288135591,0.18040606653620353,0.2650602409638554
question_category,shopping behavior,cosine_similarity,9,0.5853539705276489,0.21251946687698364,0.15665501356124878,0.47093862295150757,0.6350414752960205,0.690138041973114,0.8203321695327759
question_category,shopping behavior,bertscore_precision,9,0.8455249071121216,0.02557758428156376,0.8025954961776733,0.8292818069458008,0.8538828492164612,0.8608177304267883,0.8805635571479797
question_category,shopping behavior,bertscore_recall,9,0.8695257902145386,0.018700625747442245,0.8401656746864319,0.8646272420883179,0.8762788772583008,0.882914125919342,0.8890053033828735
question_category,shopping behavior,bertscore_f1,9,0.8572888970375061,0.021062441170215607,0.8209509253501892,0.8386879563331604,0.8658140301704407,0.8743460178375244,0.8784160614013672
question_category,shopping behavior,rougeL_precision,9,0.13031877851615822,0.06420855427880812,0.04950495049504951,0.0784313725490196,0.125,0.16666666666666666,0.25
