row_number,Person ID,Question Category,Question Text,cosine_similarity,model_name,bertscore_precision,bertscore_recall,bertscore_f1,rougeL_precision,rougeL_recall,rougeL_f1
2,c_human,shopping behavior,"where do you typically purchase your personal care products, and why?",0.67897487,sentence-transformers/all-mpnet-base-v2,0.85388285,0.8780834,0.86581403,0.12962962962962962,0.2413793103448276,0.1686746987951807
3,s_human,shopping behavior,"where do you typically purchase your personal care products, and why?",0.82033217,sentence-transformers/all-mpnet-base-v2,0.8604747,0.8886719,0.874346,0.11864406779661017,0.20588235294117646,0.15053763440860216
4,g_human,shopping behavior,"where do you typically purchase your personal care products, and why?",0.80359435,sentence-transformers/all-mpnet-base-v2,0.88056356,0.8762789,0.87841606,0.25,0.25,0.25
5,c_human,product preferences,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",0.5706378,sentence-transformers/all-mpnet-base-v2,0.85542196,0.89921004,0.8767696,0.09803921568627451,0.2631578947368421,0.14285714285714285
6,s_human,product preferences,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",0.8556998,sentence-transformers/all-mpnet-base-v2,0.85033166,0.9213329,0.88440955,0.171875,0.5789473684210527,0.2650602409638554
7,g_human,product preferences,"which personal care brands do you buy most often for skincare (or body wash) products, and why?",0.6085264,sentence-transformers/all-mpnet-base-v2,0.84979355,0.86495733,0.8573084,0.11320754716981132,0.17647058823529413,0.13793103448275862
8,c_human,product preferences,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …",0.62203425,sentence-transformers/all-mpnet-base-v2,0.83804816,0.8763033,0.85674894,0.07692307692307693,0.19047619047619047,0.10958904109589042
9,s_human,product preferences,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …",0.7917056,sentence-transformers/all-mpnet-base-v2,0.8612549,0.90286803,0.88157064,0.16326530612244897,0.38095238095238093,0.22857142857142856
10,g_human,product preferences,"what is the ideal size and packaging for a body wash product for you? for example regarding volume in ml, materials used, design, functionality, informativeness, …",0.54045343,sentence-transformers/all-mpnet-base-v2,0.8561853,0.8516367,0.8539049,0.1836734693877551,0.1323529411764706,0.15384615384615385
11,c_human,shopping behavior,"which personal care products, if any, do you regularly buy in larger/bulk quantities?",0.6221703,sentence-transformers/all-mpnet-base-v2,0.86081773,0.8890053,0.87468445,0.16666666666666666,0.3333333333333333,0.2222222222222222
12,s_human,shopping behavior,"which personal care products, if any, do you regularly buy in larger/bulk quantities?",0.47093862,sentence-transformers/all-mpnet-base-v2,0.81334615,0.8656599,0.83868796,0.0784313725490196,0.17391304347826086,0.10810810810810811
13,g_human,shopping behavior,"which personal care products, if any, do you regularly buy in larger/bulk quantities?",0.6350415,sentence-transformers/all-mpnet-base-v2,0.84490246,0.86462724,0.8546511,0.19047619047619047,0.21621621621621623,0.20253164556962025
14,c_human,influences,"if you could choose one celebrity to represent a brand of men's or women's skin and body care products that inspires you to make a purchase, who would that celebrity be and why?",0.41276544,sentence-transformers/all-mpnet-base-v2,0.8384746,0.827521,0.8329618,0.05714285714285714,0.07692307692307693,0.06557377049180328
15,s_human,influences,"if you could choose one celebrity to represent a brand of men's or women's skin and body care products that inspires you to make a purchase, who would that celebrity be and why?",0.21652721,sentence-transformers/all-mpnet-base-v2,0.82140535,0.832997,0.8271606,0.0625,0.08571428571428572,0.07228915662650602
16,g_human,influences,"if you could choose one celebrity to represent a brand of men's or women's skin and body care products that inspires you to make a purchase, who would that celebrity be and why?",0.42412552,sentence-transformers/all-mpnet-base-v2,0.82899755,0.8283256,0.82866144,0.08108108108108109,0.07692307692307693,0.07894736842105263
17,c_human,product preferences,how long have you been using your current brand of toothpaste? do you also remember the last time you switched brands and why?,0.67046446,sentence-transformers/all-mpnet-base-v2,0.86765873,0.865723,0.8666898,0.125,0.16129032258064516,0.14084507042253522
18,s_human,product preferences,how long have you been using your current brand of toothpaste? do you also remember the last time you switched brands and why?,0.809919,sentence-transformers/all-mpnet-base-v2,0.86515886,0.87641907,0.8707526,0.1875,0.25,0.21428571428571427
19,g_human,product preferences,how long have you been using your current brand of toothpaste? do you also remember the last time you switched brands and why?,0.78384525,sentence-transformers/all-mpnet-base-v2,0.8537302,0.85190403,0.8528161,0.1568627450980392,0.1702127659574468,0.16326530612244897
20,c_human,product preferences,"if you would create the perfect body wash for you, what ingredients would it have? what other features you would prefer?",0.4779329,sentence-transformers/all-mpnet-base-v2,0.8313668,0.8871505,0.85835326,0.08045977011494253,0.4117647058823529,0.1346153846153846
21,s_human,product preferences,"if you would create the perfect body wash for you, what ingredients would it have? what other features you would prefer?",0.60348,sentence-transformers/all-mpnet-base-v2,0.841655,0.8538645,0.84771585,0.16901408450704225,0.16,0.1643835616438356
22,g_human,product preferences,"if you would create the perfect body wash for you, what ingredients would it have? what other features you would prefer?",0.59144604,sentence-transformers/all-mpnet-base-v2,0.8393638,0.853861,0.84655035,0.14754098360655737,0.15789473684210525,0.15254237288135591
23,c_human,product preferences,Which out of the following type of body lotion you would prefer and why? Option 1 – Dove Body Love Nourished Radiance Body Lotion Option 2 – Dove Body Love Light Hydration Body Lotion Option 3 – Dove Body Love Pro Age Body Lotion for Mature Skin Option 4 – Dove Body Love Supple Bounce Body Lotion,0.24264772,sentence-transformers/all-mpnet-base-v2,0.7878862,0.89394623,0.837572,0.041666666666666664,0.6,0.07792207792207792
24,s_human,product preferences,Which out of the following type of body lotion you would prefer and why? Option 1 – Dove Body Love Nourished Radiance Body Lotion Option 2 – Dove Body Love Light Hydration Body Lotion Option 3 – Dove Body Love Pro Age Body Lotion for Mature Skin Option 4 – Dove Body Love Supple Bounce Body Lotion,0.45000035,sentence-transformers/all-mpnet-base-v2,0.8326345,0.84261084,0.83759296,0.13414634146341464,0.36666666666666664,0.19642857142857145
25,g_human,product preferences,Which out of the following type of body lotion you would prefer and why? Option 1 – Dove Body Love Nourished Radiance Body Lotion Option 2 – Dove Body Love Light Hydration Body Lotion Option 3 – Dove Body Love Pro Age Body Lotion for Mature Skin Option 4 – Dove Body Love Supple Bounce Body Lotion,0.61861575,sentence-transformers/all-mpnet-base-v2,0.84452844,0.8432313,0.84387934,0.14285714285714285,0.12962962962962962,0.1359223300970874
26,c_human,brand loyalty,"How likely are you to repurchase your preferred personal care brand, and what factors influence your loyalty to that brand?",0.72822,sentence-transformers/all-mpnet-base-v2,0.8442482,0.88080186,0.8621378,0.10309278350515463,0.43478260869565216,0.16666666666666666
27,s_human,brand loyalty,"How likely are you to repurchase your preferred personal care brand, and what factors influence your loyalty to that brand?",0.61562926,sentence-transformers/all-mpnet-base-v2,0.8437494,0.857299,0.85047024,0.10810810810810811,0.13793103448275862,0.12121212121212122
28,g_human,brand loyalty,"How likely are you to repurchase your preferred personal care brand, and what factors influence your loyalty to that brand?",0.6599338,sentence-transformers/all-mpnet-base-v2,0.8647187,0.89034194,0.87734324,0.19230769230769232,0.3333333333333333,0.2439024390243902
29,c_human,shopping behavior,"How do you discover new personal care products, and what influences your decision to try them?",0.15665501,sentence-transformers/all-mpnet-base-v2,0.8025955,0.8401657,0.8209509,0.04950495049504951,0.45454545454545453,0.08928571428571429
30,s_human,shopping behavior,"How do you discover new personal care products, and what influences your decision to try them?",0.39034104,sentence-transformers/all-mpnet-base-v2,0.8292818,0.8403258,0.8347672,0.06451612903225806,0.14814814814814814,0.0898876404494382
31,g_human,shopping behavior,"How do you discover new personal care products, and what influences your decision to try them?",0.69013804,sentence-transformers/all-mpnet-base-v2,0.86385906,0.8829141,0.8732826,0.125,0.13953488372093023,0.13186813186813184
